report_id,data_riferimento,titolo_tabella,regione,raggiunti,con_politica,con_politica_pc,lep_e,lep_f1,lep_f2,c07_form_incl_dig,c11_form_no_dig,c12_form_spec_dig,lep_h,lep_j,lep_o,tirocinio_co,con_pol_o_tiroc,con_pol_o_tiroc_pc
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",P.A. Bolzano,15301.0,15117.0,98.8,1728.0,15100.0,27.0,15.0,795.0,351.0,993.0,0.0,28.0,336.0,15126.0,98.9
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Calabria,163148.0,108211.0,66.3,105729.0,61813.0,2869.0,5817.0,5198.0,7628.0,18351.0,0.0,3407.0,6245.0,112038.0,68.7
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Campania,502543.0,355973.0,70.8,340164.0,123948.0,7918.0,131452.0,251.0,17587.0,148313.0,900.0,2520.0,25846.0,364589.0,72.5
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Emilia-Romagna,257367.0,218167.0,84.8,208366.0,170277.0,8663.0,29667.0,7199.0,53737.0,87091.0,3.0,1922.0,15830.0,220649.0,85.7
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Friuli-Venezia Giulia,103314.0,97688.0,94.6,75896.0,88679.0,2813.0,7145.0,12315.0,11760.0,28018.0,84.0,60.0,5509.0,98013.0,94.9
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Lazio,251843.0,133971.0,53.2,132780.0,31715.0,24.0,7723.0,13504.0,7954.0,28569.0,0.0,558.0,15850.0,144997.0,57.6
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Liguria,63859.0,49355.0,77.3,41542.0,27684.0,1969.0,22.0,9586.0,8399.0,16123.0,0.0,43.0,4025.0,49918.0,78.2
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Lombardia,479047.0,273668.0,57.1,240926.0,195006.0,12951.0,6984.0,53018.0,31572.0,78988.0,6.0,2065.0,31894.0,289531.0,60.4
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Marche,101537.0,86394.0,85.1,48939.0,76933.0,3799.0,4114.0,2877.0,3470.0,9971.0,1.0,1166.0,10154.0,87787.0,86.5
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Molise,12973.0,2463.0,19.0,904.0,28.0,3.0,1094.0,166.0,554.0,1766.0,1.0,0.0,929.0,3333.0,25.7
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Piemonte,243420.0,167568.0,68.8,158708.0,88307.0,20547.0,42024.0,5387.0,11411.0,54555.0,1.0,49.0,24068.0,170195.0,69.9
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Puglia,355411.0,160923.0,45.3,83191.0,103658.0,482.0,20331.0,14196.0,11982.0,45905.0,5.0,11643.0,20538.0,176003.0,49.5
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Sardegna,161429.0,129151.0,80.0,127878.0,53426.0,4767.0,23.0,6485.0,6703.0,12805.0,1.0,157.0,10536.0,131128.0,81.2
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Sicilia,501010.0,149903.0,29.9,139418.0,22997.0,135.0,13483.0,4194.0,12275.0,28893.0,2.0,215.0,24015.0,172422.0,34.4
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Toscana,261538.0,234803.0,89.8,213636.0,172328.0,9494.0,31687.0,33657.0,16773.0,72076.0,4928.0,3232.0,14777.0,235770.0,90.1
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",P.A. Trento,25371.0,24322.0,95.9,10237.0,21970.0,231.0,1216.0,2892.0,2042.0,5981.0,338.0,97.0,697.0,24345.0,96.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Umbria,58465.0,42778.0,73.2,41377.0,23591.0,2030.0,347.0,5751.0,4298.0,9081.0,0.0,8.0,5040.0,44006.0,75.3
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Valle d'Aosta,6327.0,5382.0,85.1,4142.0,3503.0,260.0,223.0,351.0,256.0,982.0,26.0,26.0,554.0,5460.0,86.3
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Veneto,291815.0,291535.0,99.9,291411.0,280339.0,13739.0,8869.0,42208.0,19851.0,62902.0,2328.0,317.0,31021.0,291595.0,99.9
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Totale,3966331.0,2619133.0,66.0,2320549.0,1596464.0,92735.0,317022.0,222460.0,234666.0,724475.0,8624.0,27641.0,253919.0,2711290.0,68.4
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Abruzzo,64468.0,54313.0,84.2,42894.0,30089.0,14.0,1478.0,786.0,1600.0,3818.0,0.0,2.0,3974.0,55095.0,85.5
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Basilicata,40704.0,13747.0,33.8,8469.0,3165.0,0.0,3211.0,1524.0,2804.0,7497.0,0.0,113.0,1748.0,15519.0,38.1
