report_id,data_riferimento,presi_in_carico,occupati_totale,occupati_pc,nuovi_occupati,nuovi_occupati_pc,gia_occupati,gia_occupati_pc,quota_nuovi_su_occ,dimensione,etichetta,percorso
INAPP_Focus-GOL_6-2025,2025-04-30,39006,12785,32.8,11487,29.4,1298,3.3,89.8,regione,Basilicata,NA
INAPP_Focus-GOL_6-2025,2025-04-30,14205,7326,51.6,6908,48.6,418,2.9,94.3,regione,P.A. Bolzano,NA
INAPP_Focus-GOL_6-2025,2025-04-30,147959,44495,30.1,40217,27.2,4278,2.9,90.4,regione,Calabria,NA
INAPP_Focus-GOL_6-2025,2025-04-30,465989,147762,31.7,133642,28.7,14120,3,90.4,regione,Campania,NA
INAPP_Focus-GOL_6-2025,2025-04-30,235924,104356,44.2,93421,39.6,10935,4.6,89.5,regione,Emilia-Romagna,NA
INAPP_Focus-GOL_6-2025,2025-04-30,95438,47351,49.6,44783,46.9,2568,2.7,94.6,regione,Friuli-Venezia Giulia,NA
INAPP_Focus-GOL_6-2025,2025-04-30,229983,97751,42.5,85363,37.1,12388,5.4,87.3,regione,Lazio,NA
INAPP_Focus-GOL_6-2025,2025-04-30,58504,26845,45.9,24016,41.1,2829,4.8,89.5,regione,Liguria,NA
INAPP_Focus-GOL_6-2025,2025-04-30,405009,176428,43.6,155013,38.3,21415,5.3,87.9,regione,Lombardia,NA
INAPP_Focus-GOL_6-2025,2025-04-30,94614,40903,43.2,36810,38.9,4093,4.3,90,regione,Marche,NA
INAPP_Focus-GOL_6-2025,2025-04-30,10427,3728,35.8,3348,32.1,380,3.6,89.8,regione,Molise,NA
INAPP_Focus-GOL_6-2025,2025-04-30,217352,88578,40.8,78859,36.3,9719,4.5,89,regione,Piemonte,NA
INAPP_Focus-GOL_6-2025,2025-04-30,315278,115911,36.8,106128,33.7,9783,3.1,91.6,regione,Puglia,NA
INAPP_Focus-GOL_6-2025,2025-04-30,148129,61441,41.5,56398,38.1,5043,3.4,91.8,regione,Sardegna,NA
INAPP_Focus-GOL_6-2025,2025-04-30,445705,148097,33.2,136307,30.6,11790,2.6,92,regione,Sicilia,NA
INAPP_Focus-GOL_6-2025,2025-04-30,234529,114815,49,103800,44.3,11015,4.7,90.4,regione,Toscana,NA
INAPP_Focus-GOL_6-2025,2025-04-30,23367,10490,44.9,9808,42,682,2.9,93.5,regione,P.A. Trento,NA
INAPP_Focus-GOL_6-2025,2025-04-30,53407,26514,49.6,24133,45.2,2381,4.5,91,regione,Umbria,NA
INAPP_Focus-GOL_6-2025,2025-04-30,266239,123662,46.4,115158,43.3,8504,3.2,93.1,regione,Veneto,NA
INAPP_Focus-GOL_6-2025,2025-04-30,3568728,1429141,40,1292670,36.2,136471,3.8,90.5,regione,Totale,NA
INAPP_Focus-GOL_6-2025,2025-04-30,1793203,896391,50,819731,45.7,76660,4.3,91.4,percorso,1_reinserimento_lavorativo,1_reinserimento_lavorativo
INAPP_Focus-GOL_6-2025,2025-04-30,881797,354404,40.2,317544,36,36860,4.2,89.6,percorso,2_aggiornamento_upskilling,2_aggiornamento_upskilling
INAPP_Focus-GOL_6-2025,2025-04-30,758398,150087,19.8,133075,17.5,17012,2.2,88.7,percorso,3_riqualificazione_reskilling,3_riqualificazione_reskilling
INAPP_Focus-GOL_6-2025,2025-04-30,135330,28259,20.9,22320,16.5,5939,4.4,79,percorso,4_lavoro_inclusione,4_lavoro_inclusione
