report_id,data_riferimento,tavola,dimensione,etichetta,variabile,percorso,unita_misura,valore
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,percorso,2_aggiornamento_upskilling,nuovi_occupati,2_aggiornamento_upskilling,valore_assoluto,376206
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,percorso,2_aggiornamento_upskilling,nuovi_occupati_pc,2_aggiornamento_upskilling,percentuale,38.5
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,percorso,2_aggiornamento_upskilling,gia_occupati,2_aggiornamento_upskilling,valore_assoluto,38364
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,percorso,2_aggiornamento_upskilling,gia_occupati_pc,2_aggiornamento_upskilling,percentuale,3.9
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,percorso,2_aggiornamento_upskilling,quota_nuovi_su_occ,2_aggiornamento_upskilling,percentuale,90.7
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,percorso,3_riqualificazione_reskilling,presi_in_carico,3_riqualificazione_reskilling,valore_assoluto,891731
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,percorso,3_riqualificazione_reskilling,occupati_totale,3_riqualificazione_reskilling,valore_assoluto,184460
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,percorso,3_riqualificazione_reskilling,occupati_pc,3_riqualificazione_reskilling,percentuale,20.7
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,percorso,3_riqualificazione_reskilling,nuovi_occupati,3_riqualificazione_reskilling,valore_assoluto,165332
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,percorso,3_riqualificazione_reskilling,nuovi_occupati_pc,3_riqualificazione_reskilling,percentuale,18.5
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,percorso,3_riqualificazione_reskilling,gia_occupati,3_riqualificazione_reskilling,valore_assoluto,19128
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,percorso,3_riqualificazione_reskilling,gia_occupati_pc,3_riqualificazione_reskilling,percentuale,2.1
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,percorso,3_riqualificazione_reskilling,quota_nuovi_su_occ,3_riqualificazione_reskilling,percentuale,89.6
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,percorso,4_lavoro_inclusione,presi_in_carico,4_lavoro_inclusione,valore_assoluto,149419
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,percorso,4_lavoro_inclusione,occupati_totale,4_lavoro_inclusione,valore_assoluto,35223
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,percorso,4_lavoro_inclusione,occupati_pc,4_lavoro_inclusione,percentuale,23.6
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,percorso,4_lavoro_inclusione,nuovi_occupati,4_lavoro_inclusione,valore_assoluto,28838
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,percorso,4_lavoro_inclusione,nuovi_occupati_pc,4_lavoro_inclusione,percentuale,19.3
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,percorso,4_lavoro_inclusione,gia_occupati,4_lavoro_inclusione,valore_assoluto,6385
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,percorso,4_lavoro_inclusione,gia_occupati_pc,4_lavoro_inclusione,percentuale,4.3
INAPP_Focus-GOL_12-2025,2025-09-30,2.2,percorso,4_lavoro_inclusione,quota_nuovi_su_occ,4_lavoro_inclusione,percentuale,81.9
INAPP_Focus-GOL_13-2025,2025-10-31,2.2,regione,Abruzzo,presi_in_carico,NA,valore_assoluto,69284
INAPP_Focus-GOL_13-2025,2025-10-31,2.2,regione,Abruzzo,occupati_totale,NA,valore_assoluto,31248
INAPP_Focus-GOL_13-2025,2025-10-31,2.2,regione,Abruzzo,occupati_pc,NA,percentuale,45.1
INAPP_Focus-GOL_13-2025,2025-10-31,2.2,regione,Abruzzo,nuovi_occupati,NA,valore_assoluto,28398
INAPP_Focus-GOL_13-2025,2025-10-31,2.2,regione,Abruzzo,nuovi_occupati_pc,NA,percentuale,41
INAPP_Focus-GOL_13-2025,2025-10-31,2.2,regione,Abruzzo,gia_occupati,NA,valore_assoluto,2850
INAPP_Focus-GOL_13-2025,2025-10-31,2.2,regione,Abruzzo,gia_occupati_pc,NA,percentuale,4.1
INAPP_Focus-GOL_13-2025,2025-10-31,2.2,regione,Abruzzo,quota_nuovi_su_occ,NA,percentuale,90.9
INAPP_Focus-GOL_13-2025,2025-10-31,2.2,regione,Basilicata,presi_in_carico,NA,valore_assoluto,46133
INAPP_Focus-GOL_13-2025,2025-10-31,2.2,regione,Basilicata,occupati_totale,NA,valore_assoluto,17755
INAPP_Focus-GOL_13-2025,2025-10-31,2.2,regione,Basilicata,occupati_pc,NA,percentuale,38.5
INAPP_Focus-GOL_13-2025,2025-10-31,2.2,regione,Basilicata,nuovi_occupati,NA,valore_assoluto,16177
INAPP_Focus-GOL_13-2025,2025-10-31,2.2,regione,Basilicata,nuovi_occupati_pc,NA,percentuale,35.1
INAPP_Focus-GOL_13-2025,2025-10-31,2.2,regione,Basilicata,gia_occupati,NA,valore_assoluto,1578
INAPP_Focus-GOL_13-2025,2025-10-31,2.2,regione,Basilicata,gia_occupati_pc,NA,percentuale,3.4
INAPP_Focus-GOL_13-2025,2025-10-31,2.2,regione,Basilicata,quota_nuovi_su_occ,NA,percentuale,91.1
INAPP_Focus-GOL_13-2025,2025-10-31,2.2,regione,P.A. Bolzano,presi_in_carico,NA,valore_assoluto,15980
INAPP_Focus-GOL_13-2025,2025-10-31,2.2,regione,P.A. Bolzano,occupati_totale,NA,valore_assoluto,8642
