report_id,data_riferimento,regione,2022,2023,2024,2025,totale,incidenza_pc,individui
INAPP_Focus-GOL_6-2025,2025-04-30,Toscana,45387,84932,103541,38917,272777,14.3,234529
INAPP_Focus-GOL_6-2025,2025-04-30,P.A. Trento,4943,8034,8027,3138,24142,13,23367
INAPP_Focus-GOL_6-2025,2025-04-30,Umbria,11150,20387,21377,7472,60386,12.4,53622
INAPP_Focus-GOL_6-2025,2025-04-30,Veneto,40575,115970,110470,36390,303405,12,266958
INAPP_Focus-GOL_6-2025,2025-04-30,Totale,704308,1296711,1448303,480318,3929640,12.2,3574452
INAPP_Focus-GOL_7-2025,2025-05-31,Abruzzo,9656,25236,24202,9996,69090,14.5,63468
INAPP_Focus-GOL_7-2025,2025-05-31,Basilicata,6499,13016,18764,7712,45991,16.8,40028
INAPP_Focus-GOL_7-2025,2025-05-31,P.A. Bolzano,2427,5880,5613,2228,16148,13.8,14518
INAPP_Focus-GOL_7-2025,2025-05-31,Calabria,28246,49079,63477,26528,167330,15.9,152803
INAPP_Focus-GOL_7-2025,2025-05-31,Campania,92375,166844,208378,64649,532246,12.1,476857
INAPP_Focus-GOL_7-2025,2025-05-31,Emilia-Romagna,44348,83869,89264,43168,260649,16.6,241735
INAPP_Focus-GOL_7-2025,2025-05-31,Friuli-Venezia Giulia,21693,39358,37727,13600,112378,12.1,97619
INAPP_Focus-GOL_7-2025,2025-05-31,Lazio,61770,79131,75323,29413,245637,12,235125
INAPP_Focus-GOL_7-2025,2025-05-31,Liguria,11822,21161,23499,8101,64583,12.5,60048
INAPP_Focus-GOL_7-2025,2025-05-31,Lombardia,78069,138077,165110,79175,460431,17.2,417446
INAPP_Focus-GOL_7-2025,2025-05-31,Marche,18469,36285,39306,14382,108442,13.3,96408
INAPP_Focus-GOL_7-2025,2025-05-31,Molise,1710,2665,4578,3235,12188,26.5,11244
INAPP_Focus-GOL_7-2025,2025-05-31,Piemonte,46775,73692,80801,45559,246827,18.5,224657
INAPP_Focus-GOL_7-2025,2025-05-31,Puglia,71271,102849,118210,50115,342445,14.6,324006
INAPP_Focus-GOL_7-2025,2025-05-31,Sardegna,38894,58985,53882,19022,170783,11.1,151503
INAPP_Focus-GOL_7-2025,2025-05-31,Sicilia,66212,168498,194395,66916,496021,13.5,456682
INAPP_Focus-GOL_7-2025,2025-05-31,Toscana,45345,84876,103485,46302,280008,16.5,239923
INAPP_Focus-GOL_7-2025,2025-05-31,P.A. Trento,4943,8031,8023,3824,24821,15.4,23944
INAPP_Focus-GOL_7-2025,2025-05-31,Umbria,11129,20371,21372,9014,61886,14.6,54821
INAPP_Focus-GOL_7-2025,2025-05-31,Veneto,40558,115998,110822,44999,312377,14.4,273765
INAPP_Focus-GOL_7-2025,2025-05-31,Totale,703503,1295823,1448288,589171,4036785,14.6,3662385
INAPP_Focus-GOL_8-2025,2025-06-30,Abruzzo,9651,25222,24189,11251,70313,16,64468
INAPP_Focus-GOL_8-2025,2025-06-30,Basilicata,6488,13007,18756,8703,46954,18.5,40704
INAPP_Focus-GOL_8-2025,2025-06-30,P.A. Bolzano,2426,5876,5609,2563,16474,15.6,14769
INAPP_Focus-GOL_8-2025,2025-06-30,Calabria,28313,49022,63407,30351,171093,17.7,155877
