regione;anno;trimestre;trimestre_roman;flusso;variabile;valore;file_origine
Puglia;2017;2;II;avviamenti;lavoratori;223966.0;Allegato-IV-Trimestre-2021.xlsx
Puglia;2017;2;II;avviamenti;media;1.4996561978157399;Allegato-IV-Trimestre-2021.xlsx
Puglia;2017;2;II;cessazioni;rapporti;284869.0;Allegato-IV-Trimestre-2021.xlsx
Puglia;2017;2;II;cessazioni;lavoratori;184763.0;Allegato-IV-Trimestre-2021.xlsx
Puglia;2017;2;II;cessazioni;media;1.5418076129961085;Allegato-IV-Trimestre-2021.xlsx
Sardegna;2017;2;II;avviamenti;rapporti;97052.0;Allegato-IV-Trimestre-2021.xlsx
Sardegna;2017;2;II;avviamenti;lavoratori;81645.0;Allegato-IV-Trimestre-2021.xlsx
Sardegna;2017;2;II;avviamenti;media;1.1887072080347847;Allegato-IV-Trimestre-2021.xlsx
Sardegna;2017;2;II;cessazioni;rapporti;61962.0;Allegato-IV-Trimestre-2021.xlsx
Sardegna;2017;2;II;cessazioni;lavoratori;48719.0;Allegato-IV-Trimestre-2021.xlsx
Sardegna;2017;2;II;cessazioni;media;1.271824134321312;Allegato-IV-Trimestre-2021.xlsx
Sicilia;2017;2;II;avviamenti;rapporti;218119.0;Allegato-IV-Trimestre-2021.xlsx
Sicilia;2017;2;II;avviamenti;lavoratori;168305.0;Allegato-IV-Trimestre-2021.xlsx
Sicilia;2017;2;II;avviamenti;media;1.2959745699771248;Allegato-IV-Trimestre-2021.xlsx
Sicilia;2017;2;II;cessazioni;rapporti;184025.0;Allegato-IV-Trimestre-2021.xlsx
Sicilia;2017;2;II;cessazioni;lavoratori;134861.0;Allegato-IV-Trimestre-2021.xlsx
Sicilia;2017;2;II;cessazioni;media;1.3645531324845581;Allegato-IV-Trimestre-2021.xlsx
Toscana;2017;2;II;avviamenti;rapporti;193699.0;Allegato-IV-Trimestre-2021.xlsx
Toscana;2017;2;II;avviamenti;lavoratori;155805.0;Allegato-IV-Trimestre-2021.xlsx
Toscana;2017;2;II;avviamenti;media;1.2432142742530727;Allegato-IV-Trimestre-2021.xlsx
Toscana;2017;2;II;cessazioni;rapporti;148548.0;Allegato-IV-Trimestre-2021.xlsx
Toscana;2017;2;II;cessazioni;lavoratori;115282.0;Allegato-IV-Trimestre-2021.xlsx
Toscana;2017;2;II;cessazioni;media;1.2885619611040753;Allegato-IV-Trimestre-2021.xlsx
Totale (d);2017;2;II;avviamenti;rapporti;2992358.0;Allegato-IV-Trimestre-2021.xlsx
Totale (d);2017;2;II;avviamenti;lavoratori;2211077.0;Allegato-IV-Trimestre-2021.xlsx
Totale (d);2017;2;II;avviamenti;media;1.3533486169862017;Allegato-IV-Trimestre-2021.xlsx
Totale (d);2017;2;II;cessazioni;rapporti;2509293.0;Allegato-IV-Trimestre-2021.xlsx
