regione;anno;trimestre;trimestre_roman;flusso;rapporti;lavoratori;media;file_origine
Friuli Venezia Giulia;2025;2;II;avviamenti;59354.0;50178.0;1.1828689864083861;Allegato-III-Trimestre-CO-2025.xlsx
Friuli Venezia Giulia;2025;2;II;cessazioni;56888.0;47149.0;1.2065579333601986;Allegato-III-Trimestre-CO-2025.xlsx
Lazio;2025;2;II;avviamenti;501657.0;261241.0;1.9202843351541297;Allegato-III-Trimestre-CO-2025.xlsx
Lazio;2025;2;II;cessazioni;525711.0;276981.0;1.8980038341980137;Allegato-III-Trimestre-CO-2025.xlsx
Liguria;2025;2;II;avviamenti;85944.0;70924.0;1.21177598556201;Allegato-III-Trimestre-CO-2025.xlsx
Liguria;2025;2;II;cessazioni;72232.0;59028.0;1.2236904519888867;Allegato-III-Trimestre-CO-2025.xlsx
Lombardia;2025;2;II;avviamenti;484323.0;363853.0;1.3310952500048097;Allegato-III-Trimestre-CO-2025.xlsx
Lombardia;2025;2;II;cessazioni;532821.0;402485.0;1.323828217200641;Allegato-III-Trimestre-CO-2025.xlsx
Marche;2025;2;II;avviamenti;87565.0;71492.0;1.2248223577463213;Allegato-III-Trimestre-CO-2025.xlsx
Marche;2025;2;II;cessazioni;87842.0;72233.0;1.2160923677543505;Allegato-III-Trimestre-CO-2025.xlsx
Molise;2025;2;II;avviamenti;12406.0;10385.0;1.194607607125662;Allegato-III-Trimestre-CO-2025.xlsx
Molise;2025;2;II;cessazioni;12081.0;9906.0;1.2195639006662629;Allegato-III-Trimestre-CO-2025.xlsx
N.D. (c );2025;2;II;avviamenti;830.0;695.0;1.1942446043165467;Allegato-III-Trimestre-CO-2025.xlsx
N.D. (c );2025;2;II;cessazioni;911.0;769.0;1.1846553966189857;Allegato-III-Trimestre-CO-2025.xlsx
Piemonte;2025;2;II;avviamenti;154261.0;127202.0;1.2127246426942973;Allegato-III-Trimestre-CO-2025.xlsx
Piemonte;2025;2;II;cessazioni;177507.0;145521.0;1.2198033273548148;Allegato-III-Trimestre-CO-2025.xlsx
Puglia;2025;2;II;avviamenti;325173.0;225366.0;1.4428662708660578;Allegato-III-Trimestre-CO-2025.xlsx
Puglia;2025;2;II;cessazioni;289206.0;197081.0;1.4674473947260263;Allegato-III-Trimestre-CO-2025.xlsx
Sardegna;2025;2;II;avviamenti;124152.0;103546.0;1.1990033415100536;Allegato-III-Trimestre-CO-2025.xlsx
Sardegna;2025;2;II;cessazioni;83912.0;65599.0;1.2791658409426974;Allegato-III-Trimestre-CO-2025.xlsx
Sicilia;2025;2;II;avviamenti;249322.0;194915.0;1.2791319293025165;Allegato-III-Trimestre-CO-2025.xlsx
